ticker,date,close
TSLA,2026-07-07,
TSLA,2026-07-08,
TSLA,2026-07-09,
TSLA,2026-07-10,
TSLA,2026-07-13,
TSLA,2026-07-14,
TSLA,2026-07-15,
TSLA,2026-07-16,
TSLA,2026-07-17,
TSLA,2026-07-20,
TSLA,2026-07-21,
TSLA,2026-07-22,
TSLA,2026-07-23,
TSLA,2026-07-24,
SNDK,2026-06-24,
SNDK,2026-06-25,
SNDK,2026-06-26,
SNDK,2026-06-29,
SNDK,2026-06-30,
SNDK,2026-07-01,
SNDK,2026-07-02,
SNDK,2026-07-03,
SNDK,2026-07-06,
SNDK,2026-07-07,
SNDK,2026-07-08,
SNDK,2026-07-09,
SNDK,2026-07-10,
SNDK,2026-07-13,
SNDK,2026-07-14,
SNDK,2026-07-15,
SNDK,2026-07-16,
SNDK,2026-07-17,
SNDK,2026-07-20,
SNDK,2026-07-21,
SNDK,2026-07-22,
SNDK,2026-07-23,
SNDK,2026-07-24,
MOH,2026-06-24,
MOH,2026-06-25,
MOH,2026-06-26,
MOH,2026-06-29,
MOH,2026-06-30,
MOH,2026-07-01,
MOH,2026-07-02,
MOH,2026-07-03,
MOH,2026-07-06,
MOH,2026-07-07,
MOH,2026-07-08,
MOH,2026-07-09,
MOH,2026-07-10,
MOH,2026-07-13,
MOH,2026-07-14,
MOH,2026-07-15,
MOH,2026-07-16,
MOH,2026-07-17,
MOH,2026-07-20,
MOH,2026-07-21,
MOH,2026-07-22,
MOH,2026-07-23,
MOH,2026-07-24,
WDC,2026-06-24,
WDC,2026-06-25,
WDC,2026-06-26,
WDC,2026-06-29,
WDC,2026-06-30,
WDC,2026-07-01,
WDC,2026-07-02,
WDC,2026-07-03,
WDC,2026-07-06,
WDC,2026-07-07,
WDC,2026-07-08,
WDC,2026-07-09,
WDC,2026-07-10,
WDC,2026-07-13,
WDC,2026-07-14,
WDC,2026-07-15,
WDC,2026-07-16,
WDC,2026-07-17,
WDC,2026-07-20,
WDC,2026-07-21,
WDC,2026-07-22,
WDC,2026-07-23,
WDC,2026-07-24,
INTC,2026-06-24,
INTC,2026-06-25,
INTC,2026-06-26,
INTC,2026-06-29,
INTC,2026-06-30,
INTC,2026-07-01,
INTC,2026-07-02,
INTC,2026-07-03,
INTC,2026-07-06,
INTC,2026-07-07,
INTC,2026-07-08,
INTC,2026-07-09,
INTC,2026-07-10,
INTC,2026-07-13,
INTC,2026-07-14,
INTC,2026-07-15,
INTC,2026-07-16,
INTC,2026-07-17,
INTC,2026-07-20,
INTC,2026-07-21,
INTC,2026-07-22,
INTC,2026-07-23,
INTC,2026-07-24,
GOOGL,2026-06-24,
GOOGL,2026-06-25,
GOOGL,2026-06-26,
GOOGL,2026-06-29,
GOOGL,2026-06-30,
GOOGL,2026-07-01,
GOOGL,2026-07-02,
GOOGL,2026-07-03,
GOOGL,2026-07-06,
GOOGL,2026-07-07,
GOOGL,2026-07-08,
GOOGL,2026-07-09,
GOOGL,2026-07-10,
GOOGL,2026-07-13,
GOOGL,2026-07-14,
GOOGL,2026-07-15,
GOOGL,2026-07-16,
GOOGL,2026-07-17,
GOOGL,2026-07-20,
GOOGL,2026-07-21,
GOOGL,2026-07-22,
GOOGL,2026-07-23,
GOOGL,2026-07-24,
